timestamp,target,var_1,var_2,var_3,var_4,var_5,var_6
1518825600,1.868908334510197,-0.8828719993572336,-1.1553619750322555,43,16,1381.50715695377,486.8105
1518829200,1.6686850636726085,-0.8745377123955748,-1.1550948814934017,57,10,1386.48160998766,21.2221
1518832800,0.6634990495902898,-0.8730163688694162,-1.1548358907922436,49,11,334.726437023859,85.50573
1518836400,0.7374999057904987,-0.8895250511905641,-1.1545708979890887,36,25,559.711135940624,3264.0090167301
1518840000,1.4426814555129837,-0.904973139887704,-1.1543026040298356,55,35,124.505173435318,2655.05947195
1518843600,1.3347455554480765,-0.9140502971572045,-1.1540634202652666,55,30,165.209583392954,1652.1346948
1518847200,1.104298936708921,-0.9110960517275869,-1.1538062301947076,75,42,1011.44103308099,527.47478316
1518850800,0.6111580075424193,-0.8780961462202568,-1.153555342331245,57,38,6063.20869080458,657.41613134
1518854400,0.46653329251122094,-0.8779035064216084,-1.1533005531014846,57,33,479.930290268499,448.35285905
1518858000,0.6192813775671582,-0.8948958204124333,-1.1530577680757177,54,37,236.900469273168,3020.4155862
1518861600,0.3279520866674488,-0.8956516817939151,-1.152764865498278,58,28,96.3537576858952,220.15445435
1518865200,0.07666901640782382,-0.8968724479747964,-1.1524761643922363,59,32,184.654603296866,384.6101526499
1518868800,-0.2617748220445686,-0.8997737263475923,-1.1522369806276673,54,45,94.9398902103431,570.17432092
1518872400,-0.11596952965056985,-0.9048453073934831,-1.1519731882449118,60,46,104.473123100717,935.22776563
1518876000,-0.10308514046632095,-0.9027638314950154,-1.1517096959672561,60,46,835.169413725419,494.170453
1518879600,-0.109795489117823,-0.9029421381591571,-1.151471112412887,77,28,724.058356091597,753.24942
1518883200,0.037624948710235584,-0.9007418708071182,-1.1512181238137253,77,30,804.892635640407,444.444331
1518886800,0.34046088876898156,-0.8978387567516394,-1.1509672359502627,73,19,1238.24556264428,762.66972
1518890400,0.6467855566202275,-0.8982059469715755,-1.1507172484020998,58,29,85.2098657733484,145.3412438
1518894000,0.4977227185354017,-0.9002963740886878,-1.1504597582264409,53,22,35.2085810190017,377.62989
1518897600,0.2379185317189884,-0.8952257889667143,-1.1502028682609815,54,24,1172.68123622296,342.04486921
1518901200,-0.18188566344468202,-0.8869487611858261,-1.1499270716742327,58,15,1540.30220971631,184.41927
1518904800,-0.3046935606159323,-0.864125711755837,-1.14967618381077,53,9,3760.72024203003,22.03343
1518908400,-0.28316986434082236,-0.8632568380489553,-1.1494144921637135,57,7,169.428217949903,27.09218164
1518912000,-0.3366826933614125,-0.8630703413314936,-1.149156101672755,66,5,106.121593014697,75.56811
1518915600,-0.33989569769739336,-0.8639606736207688,-1.148896810866497,44,10,133.560778131257,279.40127
1518919200,-0.3435819147890733,-0.8627463470440224,-1.1486501244744323,37,8,249.07178724176,50.14592
1518922800,-0.061683926951520016,-0.8675357950815741,-1.148420243967958,49,19,30.0963254055956,814.65169
1518926400,0.8116388266245417,-0.8649347067059999,-1.1481765586268915,52,23,749.4121639415,323.30912
